Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
A0A089GIA6,A0A089GIA6_HUMAN,Butyrophilin subfamily 3 member A3 secreted isoform,BTN3A3,external side of plasma membrane [GO:0009897]; signaling receptor binding [GO:0005102]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852]
A0A090N8E9,A0A090N8E9_HUMAN,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356),EZH2 tcag7.507,"chromatin silencing complex [GO:0005677]; ESC/E(Z) complex [GO:0035098]; nucleoplasm [GO:0005654]; pericentric heterochromatin [GO:0005721]; pronucleus [GO:0045120]; synapse [GO:0045202]; chromatin DNA binding [GO:0031490]; histone H3K27 trimethyltransferase activity [GO:0140951]; lncRNA binding [GO:0106222]; primary miRNA binding [GO:0070878]; ribonucleoprotein complex binding [GO:0043021]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription corepressor activity [GO:0003714]; B cell differentiation [GO:0030183]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to trichostatin A [GO:0035984]; cerebellar cortex development [GO:0021695]; facultative heterochromatin formation [GO:0140718]; G1 to G0 transition [GO:0070314]; G1/S transition of mitotic cell cycle [GO:0000082]; hepatocyte homeostasis [GO:0036333]; hippocampus development [GO:0021766]; keratinocyte differentiation [GO:0030216]; liver regeneration [GO:0097421]; methylation [GO:0032259]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of keratinocyte differentiation [GO:0045617]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of striated muscle cell differentiation [GO:0051154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of dendrite development [GO:1900006]; protein localization to chromatin [GO:0071168]; protein modification process [GO:0036211]; regulation of cell population proliferation [GO:0042127]; regulation of circadian rhythm [GO:0042752]; regulation of gliogenesis [GO:0014013]; regulation of kidney development [GO:0090183]; regulation of protein phosphorylation [GO:0001932]; response to estradiol [GO:0032355]; response to tetrachloromethane [GO:1904772]; rhythmic process [GO:0048511]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; stem cell differentiation [GO:0048863]; synaptic transmission, GABAergic [GO:0051932]"
A0A097PIE4,A0A097PIE4_HUMAN,Bone morphogenetic protein 4,BMP4,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; BMP signaling pathway [GO:0030509]
A0A0A0MQU8,A0A0A0MQU8_HUMAN,Interferon alpha 6,IFNA6,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126]; defense response to virus [GO:0051607]
A0A0A0MQV6,A0A0A0MQV6_HUMAN,Fibroblast growth factor (FGF),FGF2,extracellular region [GO:0005576]; nucleus [GO:0005634]; growth factor activity [GO:0008083]; animal organ development [GO:0048513]; system development [GO:0048731]
A0A0A0MR43,A0A0A0MR43_HUMAN,Vascular endothelial growth factor A,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MRQ4,A0A0A0MRQ4_HUMAN,Vascular endothelial growth factor A,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MSC4,A0A0A0MSC4_HUMAN,Platelet derived growth factor subunit A,PDGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]
A0A0A0MSH5,A0A0A0MSH5_HUMAN,Vascular permeability factor,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MSH7,A0A0A0MSH7_HUMAN,Vascular permeability factor,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MSI7,A0A0A0MSI7_HUMAN,Vascular permeability factor,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MTB2,A0A0A0MTB2_HUMAN,Vascular permeability factor,VEGFA,extracellular region [GO:0005576]; membrane [GO:0016020]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]
A0A0A0MTG5,A0A0A0MTG5_HUMAN,Interleukin-7 (IL-7),IL7,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; interleukin-7 receptor binding [GO:0005139]; immune response [GO:0006955]
A0A0A0MTN7,A0A0A0MTN7_HUMAN,Interleukin 12 receptor subunit beta 2,IL12RB2,plasma membrane [GO:0005886]; cytokine receptor activity [GO:0004896]
A0A0A0N0K8,A0A0A0N0K8_HUMAN,Lefty1 isoform B,Lefty1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; transforming growth factor beta receptor binding [GO:0005160]; anterior/posterior axis specification [GO:0009948]
A0A0A0N0L2,A0A0A0N0L2_HUMAN,IL6ST isoform 4,IL6ST,external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]; interleukin-6 binding [GO:0019981]; interleukin-6 receptor activity [GO:0004915]
A0A0A0N0L5,A0A0A0N0L5_HUMAN,IL6ST isoform 3 (Interleukin 6 cytokine family signal transducer),IL6ST,membrane [GO:0016020]; cytokine receptor activity [GO:0004896]
A0A0A0N0M2,A0A0A0N0M2_HUMAN,Tyrosine-protein kinase (EC 2.7.10.2),JAK1,cytoskeleton [GO:0005856]; endomembrane system [GO:0012505]; membrane [GO:0016020]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; cytokine-mediated signaling pathway [GO:0019221]; intracellular signal transduction [GO:0035556]; regulation of cell adhesion [GO:0030155]; regulation of multicellular organismal process [GO:0051239]
A0A0A0N0N2,A0A0A0N0N2_HUMAN,Ciliary neurotrophic factor receptor subunit alpha,CNTFR,ciliary neurotrophic factor receptor complex [GO:0070110]; CNTFR-CLCF1 complex [GO:0097059]; external side of plasma membrane [GO:0009897]; ciliary neurotrophic factor receptor activity [GO:0004897]; cytokine binding [GO:0019955]
A0A0A6YY99,A0A0A6YY99_HUMAN,Protein TNFSF12-TNFSF13,TNFSF12-TNFSF13,extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]
A0A0A7RQI9,A0A0A7RQI9_HUMAN,Prolactin receptor (PRL-R),PRLR,external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; peptide hormone binding [GO:0017046]; prolactin receptor activity [GO:0004925]; positive regulation of cell population proliferation [GO:0008284]
A0A0A7RWZ5,A0A0A7RWZ5_HUMAN,Prolactin receptor (PRL-R),PRLR,external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; peptide hormone binding [GO:0017046]; prolactin receptor activity [GO:0004925]; positive regulation of cell population proliferation [GO:0008284]
A0A0B4J1R0,A0A0B4J1R0_HUMAN,Chorionic somatomammotropin hormone like 1,CSHL1,extracellular region [GO:0005576]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]
A0A0B4J1W8,A0A0B4J1W8_HUMAN,ALK and LTK ligand 2,ALKAL2,extracellular region [GO:0005576]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; receptor signaling protein tyrosine kinase activator activity [GO:0030298]; receptor tyrosine kinase binding [GO:0030971]
A0A0B4J2E2,A0A0B4J2E2_HUMAN,C-C motif chemokine,CCL15-CCL14,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A0B4J2G5,A0A0B4J2G5_HUMAN,C-C motif chemokine ligand 14,CCL14,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A0B4U5E3,A0A0B4U5E3_HUMAN,Granulocyte colony-stimulating factor,,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; granulocyte colony-stimulating factor receptor binding [GO:0005130]; immune response [GO:0006955]; positive regulation of myeloid cell differentiation [GO:0045639]
A0A0B4U6M2,A0A0B4U6M2_HUMAN,Granulocyte-macrophage colony-stimulating factor (Colony-stimulating factor),,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; granulocyte macrophage colony-stimulating factor receptor binding [GO:0005129]; growth factor activity [GO:0008083]; immune response [GO:0006955]; myeloid cell differentiation [GO:0030099]
A0A0B6VH96,A0A0B6VH96_HUMAN,PIRO protein,PIRO,membrane [GO:0016020]
A0A0C4DG43,A0A0C4DG43_HUMAN,Thymic stromal lymphopoietin,TSLP,cytokine activity [GO:0005125]
A0A0C4DGC1,A0A0C4DGC1_HUMAN,C-X-C motif chemokine ligand 14,CXCL14,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]; inner ear development [GO:0048839]; negative regulation of myoblast differentiation [GO:0045662]; positive regulation of natural killer cell chemotaxis [GO:2000503]
A0A0C4DGU4,A0A0C4DGU4_HUMAN,Interleukin 31 receptor A,IL31RA,membrane [GO:0016020]
A0A0C4DGW8,A0A0C4DGW8_HUMAN,"Interferon lambda 3 (Interleukin 28B (Interferon, lambda 3))",IFNL3 IL28B hCG_1997257,extracellular region [GO:0005576]; cytokine activity [GO:0005125]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; defense response to virus [GO:0051607]; positive regulation of immune response [GO:0050778]
A0A0C4DH06,A0A0C4DH06_HUMAN,Cytokine receptor like factor 2,CRLF2,
A0A0C5B5G6,MOTSC_HUMAN,Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c),MT-RNR1,"extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor binding [GO:0140297]; activation of protein kinase activity [GO:0032147]; negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:2001145]; osteoblast differentiation [GO:0001649]; osteoblast proliferation [GO:0033687]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; purine-containing compound biosynthetic process [GO:0072522]; regulation of carbohydrate utilization [GO:0043610]; regulation of transcription by RNA polymerase II [GO:0006357]; skeletal muscle tissue growth [GO:0048630]"
A0A0D9SFJ6,A0A0D9SFJ6_HUMAN,Glycoprotein hormones alpha chain,CGA,extracellular region [GO:0005576]; hormone activity [GO:0005179]
A0A0D9SGA7,A0A0D9SGA7_HUMAN,Glycoprotein hormones alpha chain,CGA hCG_33165,extracellular region [GO:0005576]; hormone activity [GO:0005179]
A0A0E3SU01,A0A0E3SU01_HUMAN,Brain-derived neurotrophic factor (BDNF),BDNF,axon [GO:0030424]; dendrite [GO:0030425]; extracellular space [GO:0005615]; synaptic vesicle [GO:0008021]; growth factor activity [GO:0008083]; nerve growth factor receptor binding [GO:0005163]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; nerve growth factor signaling pathway [GO:0038180]; neuron projection morphogenesis [GO:0048812]; peripheral nervous system development [GO:0007422]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of neuron differentiation [GO:0045664]
A0A0F7RPU1,A0A0F7RPU1_HUMAN,Glycoprotein hormone beta 5 (Glycoprotein-beta 5),GPB5 GPHB5 hCG_1647688,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]
A0A0F7RPU2,A0A0F7RPU2_HUMAN,Chorionic gonadotropin beta subunit 2,CGB2,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; ovulation [GO:0030728]
A0A0F7RPZ9,A0A0F7RPZ9_HUMAN,Chorionic gonadotropin beta subunit 1,CGB1,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; ovulation [GO:0030728]
A0A0F7RQE6,A0A0F7RQE6_HUMAN,Luteinizing hormone beta polypeptide (Luteinizing hormone beta subunit),LHB hCG_16230,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; ovulation [GO:0030728]
A0A0F7RQE8,A0A0F7RQE8_HUMAN,Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (Follitropin beta chain),FSHB,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; follicle-stimulating hormone activity [GO:0016913]; follicle-stimulating hormone signaling pathway [GO:0042699]; positive regulation of bone resorption [GO:0045780]; positive regulation of gene expression [GO:0010628]; regulation of osteoclast differentiation [GO:0045670]; Sertoli cell proliferation [GO:0060011]; spermatogenesis [GO:0007283]
A0A0F7RQF0,A0A0F7RQF0_HUMAN,Chorionic gonadotropin beta subunit 5,CGB5,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]
A0A0F7RQP6,A0A0F7RQP6_HUMAN,Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (Thyrotropin beta chain),TSHB hCG_1726393,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]
A0A0F7RQP8,A0A0F7RQP8_HUMAN,Chorionic gonadotropin beta subunit 3 (Chorionic gonadotropin beta subunit 4),CGB3 CGB4,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; G protein-coupled receptor signaling pathway [GO:0007186]; ovulation [GO:0030728]
A0A0G2JLD7,A0A0G2JLD7_HUMAN,Interferon gamma receptor 2,IFNGR2,membrane [GO:0016020]
A0A0G2JLE8,A0A0G2JLE8_HUMAN,Interferon gamma receptor 2,IFNGR2,membrane [GO:0016020]
A0A0G2JPB7,A0A0G2JPB7_HUMAN,BTNL2 (Butyrophilin like 2),BTNL2,external side of plasma membrane [GO:0009897]; signaling receptor binding [GO:0005102]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852]
A0A0G2JQF6,A0A0G2JQF6_HUMAN,Receptor-type tyrosine-protein phosphatase F,PTPRK,membrane [GO:0016020]; protein tyrosine phosphatase activity [GO:0004725]
A0A0G2YPN5,A0A0G2YPN5_HUMAN,"Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]",TNF,extracellular space [GO:0005615]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; necroptotic signaling pathway [GO:0097527]; vascular endothelial growth factor production [GO:0010573]
A0A0H3VB22,A0A0H3VB22_HUMAN,Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (Fas antigen ligand),FASLG,cytoplasmic vesicle lumen [GO:0060205]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]; nucleus [GO:0005634]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; immune response [GO:0006955]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]
A0A0J9YWH4,A0A0J9YWH4_HUMAN,C-C motif chemokine 4-like,CCL4L2,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A0J9YXY1,A0A0J9YXY1_HUMAN,Suppressor of cytokine signaling 7,SOCS7,intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; protein ubiquitination [GO:0016567]
A0A0K1P7S2,A0A0K1P7S2_HUMAN,Usher syndrome 2A,,cell projection [GO:0042995]; extracellular region [GO:0005576]; membrane [GO:0016020]; receptor complex [GO:0043235]
A0A0K1RN68,A0A0K1RN68_HUMAN,"Tumor necrosis factor receptor superfamily, member 1b (EC 3.4.24.86)",TNFRSF1B,hydrolase activity [GO:0016787]; tumor necrosis factor binding [GO:0043120]; tumor necrosis factor receptor activity [GO:0005031]; extrinsic apoptotic signaling pathway [GO:0097191]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of neuroinflammatory response [GO:0150079]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of myelination [GO:0031643]; positive regulation of oligodendrocyte differentiation [GO:0048714]; regulation of T cell cytokine production [GO:0002724]; regulation of T cell proliferation [GO:0042129]
A0A0M6L0F6,A0A0M6L0F6_HUMAN,Growth hormone B1,GHB1,extracellular space [GO:0005615]; growth factor activity [GO:0008083]; growth hormone receptor binding [GO:0005131]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]; animal organ development [GO:0048513]; growth hormone receptor signaling pathway [GO:0060396]; positive regulation of growth [GO:0045927]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to nutrient levels [GO:0031667]
A0A0M6L0I9,A0A0M6L0I9_HUMAN,Growth hormone B4,GHB4,extracellular space [GO:0005615]; growth factor activity [GO:0008083]; growth hormone receptor binding [GO:0005131]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]; animal organ development [GO:0048513]; growth hormone receptor signaling pathway [GO:0060396]; positive regulation of growth [GO:0045927]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to nutrient levels [GO:0031667]
A0A0M6L0J9,A0A0M6L0J9_HUMAN,Growth hormone B2,GHB2,extracellular space [GO:0005615]; growth factor activity [GO:0008083]; growth hormone receptor binding [GO:0005131]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]; animal organ development [GO:0048513]; growth hormone receptor signaling pathway [GO:0060396]; positive regulation of growth [GO:0045927]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to nutrient levels [GO:0031667]
A0A0R4J2F0,A0A0R4J2F0_HUMAN,Glycoprotein hormones alpha chain,CGA,extracellular region [GO:0005576]; hormone activity [GO:0005179]
A0A0S1MI72,A0A0S1MI72_HUMAN,Fibroblast growth factor (FGF),FGF8,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; dorsal/ventral pattern formation [GO:0009953]; embryonic heart tube development [GO:0035050]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; limb morphogenesis [GO:0035108]; neuron differentiation [GO:0030182]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell migration [GO:0030334]
